,ID,NombreID
0,1,ABARTH
1,2,ACE
2,3,ACROSS CAR
3,4,ADRIA
4,5,AHORN
5,6,AIWAIS
6,7,ALFA ROMEO
7,8,ALPINE
8,9,ARCA
9,10,ARO
10,11,ASTON MARTIN
11,12,AUDI
12,13,AUTOSTAR
13,14,BAIC
14,15,BAILEY
15,16,BAVARIA
16,17,BENIMAR
17,18,BENTLEY
18,19,BLUCAMP
19,20,BMW
20,21,BÜRSTNER
21,22,BYD
22,23,CADILLAC
23,24,CAMPSCOUT
24,25,CARADO
25,26,CARTHAGO
26,27,CENNTRO
27,28,CHALLENGER
28,29,CHEVROLET
29,30,CHRYSLER
30,31,CI
31,32,CITROËN
32,33,CITYVAN
33,34,CLEVER VANS
34,35,CLIFF
35,36,CORVETTE
36,37,CUPRA
37,38,DACIA
38,39,DAEWOO
39,40,DAIHATSU
40,41,DAIMLER
41,42,DETHLEFFS
42,43,DFSK MOTORS
43,44,DODGE
44,45,DR MOTOR
45,46,DREAMER
46,47,DS
47,48,ELNAGH
48,49,ESTEREL
49,50,ETRUSCO
50,51,EURA MOBIL
51,52,FERRARI
52,53,FIAT
53,54,FISKER
54,55,FLEURETTE
55,56,FLORIUM
56,57,FORD
57,58,FORSTER
58,59,FRANKIA
59,60,FSM
60,61,GALLOPER
61,62,GIOTTILINE
62,63,GMC
63,64,GREEN TOUR
64,65,HOBBY
65,66,HONDA
66,67,HUMMER
67,68,HURTAN
68,69,HYMER
69,70,HYUNDAI
70,71,ILUSION
71,72,INEOS
72,73,INFINITI
73,74,ISUZU
74,75,ITINEO
75,76,IVECO
76,77,IVR
77,78,JAC
78,79,JAGUAR
79,80,JEEP
80,81,JOA CAMP
81,82,JOINT
82,83,KAYAK
83,84,KENTUCKY
84,85,KGM
85,86,KIA
86,87,KNAUS
87,88,KTM
88,89,LADA
89,90,LAIKA
90,91,LAMBORGHINI
91,92,LANCIA
92,93,LAND ROVER
93,94,LEAPMOTOR
94,95,LEVOYAGEUR
95,96,LEXUS
96,97,LINK & CO
97,98,LMC
98,99,LOTUS
99,100,MAHINDRA
100,101,MALIBU
101,102,MASERATI
102,103,MAXUS
103,104,MAYBACH
104,105,MAZDA
105,106,MCLAREN
106,107,MCLOUIS
107,108,MERCEDES
108,109,MG
109,110,MILLER
110,111,MINI
111,112,MITSUBISHI
112,113,MK SPORTSCAR
113,114,MOBILIZE
114,115,MOBILVETTA
115,116,MOKE
116,117,MONCAYO
117,118,MOOVÈO
118,119,MORGAN
119,120,NAIROBI (FORD EDDCHS).
120,121,NIESMANN
121,122,NISSAN
122,123,OMODA
123,124,OPEL
124,125,P.L.A.
125,126,PANAMA
126,127,PEUGEOT
127,128,PGO
128,129,PIAGGIO
129,130,PILOTE
130,131,POLESTAR
131,132,PONTIAC
132,133,PORSCHE
133,134,PÖSSL
134,135,QOROS
135,136,RANDGER
136,137,RAPIDO
137,138,RENAULT
138,139,RIMOR
139,140,ROADCAR
140,141,ROLLER TEAM
141,142,ROLLS-ROYCE
142,143,ROVER
143,144,SAAB
144,145,SAFARIWAYS
145,146,SANTANA
146,147,SEA
147,148,SEAT
148,149,SERES
149,150,SKODA
150,151,S-LIGHT
151,152,SMART
152,153,SSANYONG
153,154,SUBARU
154,155,SUN LIVING
155,156,SUZUKI
156,157,SWIFT
157,158,SWM
158,159,TATA
159,160,TEC
160,161,TESLA
161,162,THINK
162,163,TOYOTA
163,164,TRIGANO
164,165,VOLKSWAGEN
165,166,VOLVO
166,167,WEINSBERG
167,168,WESTFALIA
168,169,WINGAMM
169,170,YUDO
170,171,ZHIDOU
171,998,No consta
172,999,Altres/Diversos
